filename, language, HTML, PHP, JavaScript, comment, blank, total
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/bind.html, HTML, 16, 0, 0, 0, 4, 20
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/bind_bool.html, HTML, 17, 0, 0, 0, 4, 21
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/compute.html, HTML, 16, 0, 0, 0, 4, 20
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/event.html, HTML, 17, 0, 0, 0, 4, 21
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/event_mouse.html, HTML, 16, 0, 0, 0, 4, 20
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/event_mouse2.html, HTML, 22, 0, 0, 0, 5, 27
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/hello.html, HTML, 15, 0, 0, 1, 8, 24
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/js/bind.js, JavaScript, 0, 0, 6, 0, 0, 6
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/js/bind_bool.js, JavaScript, 0, 0, 6, 0, 0, 6
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/js/compute.js, JavaScript, 0, 0, 11, 0, 0, 11
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/js/event.js, JavaScript, 0, 0, 11, 0, 0, 11
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/js/event_mouse.js, JavaScript, 0, 0, 14, 0, 0, 14
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/js/event_mouse2.js, JavaScript, 0, 0, 14, 0, 0, 14
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/js/hello.js, JavaScript, 0, 0, 6, 0, 0, 6
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/js/life.js, JavaScript, 0, 0, 33, 0, 1, 34
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/js/method.js, JavaScript, 0, 0, 11, 0, 1, 12
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/js/method_diff.js, JavaScript, 0, 0, 19, 2, 2, 23
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/js/model_check.js, JavaScript, 0, 0, 6, 0, 0, 6
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/js/model_check_multi.js, JavaScript, 0, 0, 6, 0, 0, 6
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/js/model_file.js, JavaScript, 0, 0, 26, 0, 0, 26
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/js/model_obj.js, JavaScript, 0, 0, 11, 0, 0, 11
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/js/model_radio.js, JavaScript, 0, 0, 6, 0, 0, 6
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/js/react.js, JavaScript, 0, 0, 16, 0, 2, 18
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/js/watcher.js, JavaScript, 0, 0, 11, 16, 4, 31
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/lib/vue.min.js, JavaScript, 0, 0, 7642, 1922, 663, 10227
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/life.html, HTML, 16, 0, 0, 0, 4, 20
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/method.html, HTML, 16, 0, 0, 0, 4, 20
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/method_diff.html, HTML, 19, 0, 0, 23, 6, 48
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/model_check.html, HTML, 20, 0, 0, 0, 4, 24
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/model_checkl_multi.html, HTML, 25, 0, 0, 0, 5, 30
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/model_file.html, HTML, 19, 0, 0, 0, 5, 24
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/model_obj.html, HTML, 42, 0, 0, 0, 1, 43
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/model_radio.html, HTML, 27, 0, 0, 0, 5, 32
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/offline.html, HTML, 16, 0, 0, 0, 4, 20
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/react.html, HTML, 18, 0, 0, 0, 2, 20
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/template.html, HTML, 17, 0, 0, 1, 9, 27
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/upload.php, PHP, 0, 15, 0, 0, 0, 15
/Users/nakamurakeisuke/Desktop/work/vagrant/vue_practice/watcher.html, HTML, 18, 0, 0, 0, 4, 22
Total, -, 372, 15, 7855, 1965, 759, 10966